"","sample","PC1","PC2","PC3","pop","species.x","sample_ID","morpho_species","sex","species.y","locality","short_locality","lat","long","elevation"
"1","1575_001",1.72206350101621,-0.486017254597392,0.00677005054212164,"1575","dichotomius_satanas","DI5-1-1575","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"2","1575_002",-1.02545355120116,-0.0199453301245432,0.239886959196426,"1575","dichotomius_satanas","DI5-2-1575","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"3","1575_003",-0.0734505453151516,-0.785722186229041,1.83686126271459,"1575","dichotomius_satanas","DI5-3-1575","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"4","1575_004",0.203374499784793,1.04607203640506,0.064161105086434,"1575","dichotomius_satanas","DI5-4-1575","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"5","1575_005",0.289227529964358,-0.333396816509347,0.504051991497544,"1575","dichotomius_satanas","DI5-5-1575","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"6","1575_021",-0.800196751990869,0.524296599677234,-0.0807501857421795,"1575","dichotomius_satanas","DI1-21-1575","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"7","1575_022",-0.41922916177416,-1.31336234442385,0.284416326735219,"1575","dichotomius_satanas","DI1-22-1575","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"8","1575_023",1.40735729976666,0.862653715424181,-1.35838854106947,"1575","dichotomius_satanas","DI1-23-1575","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"9","1575_024",-1.29096791244361,1.6227224471318,-0.47468447716243,"1575","dichotomius_satanas","DI1-24-1575","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"10","1575_025",-0.800151802774831,-1.14741031578895,0.410641388634334,"1575","dichotomius_satanas","DI1-25-1575","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"11","1575_056",-0.64002630263494,0.390848100802345,0.931664347537868,"1575","dichotomius_satanas","DI5-56-1575","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"12","1575_057",-0.599094101864257,-1.33194479401807,0.895910431030046,"1575","dichotomius_satanas","DI5-57-1575","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"13","1575_058",-1.13032234571417,0.932751063735066,1.04925345961005,"1575","dichotomius_satanas","DI5-58-1575","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"14","1575_059",-0.456140066931619,-1.12610641140692,0.748340713901936,"1575","dichotomius_satanas","DI5-59-1575","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"15","1575_060",-1.07999325122509,1.02082388999616,0.0951363968325127,"1575","dichotomius_satanas","DI5-60-1575","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"16","1575_069",1.7940910713432,-0.942138582059887,1.02002488592332,"1575","dichotomius_satanas","DI1-69-1575","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"17","1575_070",0.0735747695883022,1.31236982307463,0.237341212263018,"1575","dichotomius_satanas","DI1-70-1575","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"18","1575_071",1.81511734951774,0.809763680405532,0.269557956039707,"1575","dichotomius_satanas","DI1-71-1575","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"19","1575_072",1.07189372379634,0.327149293382648,1.00876083809254,"1575","dichotomius_satanas","DI1-72-1575","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"20","1575_073",1.68875344270822,0.438070936191876,-1.25898208994218,"1575","dichotomius_satanas","DI1-73-1575","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1575","1575",-0.651119,-77.827848,1575
"21","1700_006",-0.779029453607,2.14112034076285,-0.956934931863409,"1700","dichotomius_satanas","DI5-6-1700","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"22","1700_007",-1.17573120228075,0.757248989846142,-0.326735784639959,"1700","dichotomius_satanas","DI5-7-1700","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"23","1700_008",0.0206842123369765,0.928357610698305,0.357114748492709,"1700","dichotomius_satanas","DI5-8-1700","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"24","1700_009",-0.776239932269274,0.272458064870115,0.315052661732627,"1700","dichotomius_satanas","DI5-9-1700","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"25","1700_010",-1.02645407959745,-0.284254507616045,1.14825336494425,"1700","dichotomius_satanas","DI5-10-1700","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"26","1700_026",1.86008874208892,1.39790808001434,1.05489867785957,"1700","dichotomius_satanas","DI1-26-1700","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"27","1700_027",-1.4596351797261,0.0765102516839269,-1.18449927997921,"1700","dichotomius_satanas","DI1-27-1700","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"28","1700_028",-1.1405187994082,0.679705156224581,-0.604162457967793,"1700","dichotomius_satanas","DI1-28-1700","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"29","1700_029",1.30910646576925,0.846844443882558,0.0415489174382086,"1700","dichotomius_satanas","DI1-29-1700","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"30","1700_030",-0.771231309990355,0.27523752662017,1.83123544173105,"1700","dichotomius_satanas","DI1-30-1700","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"31","1700_062",-0.891522274789597,-1.33628019502593,-0.594018348742909,"1700","dichotomius_satanas","DI5-62-1700","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"32","1700_063",1.25381408040786,0.617142268655686,-0.778234998537933,"1700","dichotomius_satanas","DI5-63-1700","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"33","1700_064",-0.0594356797368396,0.577208410550746,1.09712762763669,"1700","dichotomius_satanas","DI5-64-1700","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"34","1700_065",-0.613013461578211,-1.29265956621144,1.24569411091263,"1700","dichotomius_satanas","DI5-65-1700","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"35","1700_074",1.70084924433591,-1.11137687603322,-0.97259757938293,"1700","dichotomius_satanas","DI1-74-1700","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"36","1700_075",-1.06169620437681,0.110202692180924,-0.207246171928644,"1700","dichotomius_satanas","DI1-75-1700","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"37","1700_076",-0.319002826825279,-0.248116350448766,0.214677581903782,"1700","dichotomius_satanas","DI1-76-1700","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"38","1700_077",1.23945561514324,-1.39631247864321,-2.5845998360804,"1700","dichotomius_satanas","DI1-77-1700","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"39","1700_078",-0.350767834053445,-0.14066618722222,0.409042258207237,"1700","dichotomius_satanas","DI1-78-1700","Dichotomius-sp1","FEMALE","Dichotomius-satanas","HU-1700","1700",-0.647834,-77.829188,1700
"40","1825_011",0.437341809579061,-0.679125034044905,0.179126572400663,"1825","dichotomius_satanas","DI5-11-1825","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1825","1825",-0.646252,-77.832514,1825
"41","1825_012",-0.914105861160287,1.53254118377106,-0.0081307566171543,"1825","dichotomius_satanas","DI5-12-1825","Dichotomius-sp5","MALE","Dichotomius-satanas","HU-1825","1825",-0.646252,-77.832514,1825
